Title,Authors,Published,PDF_URL,PDF_Path
Is there any measurable benefit in publishing preprints in the arXiv section Quantitative Biology?,Valeria Aman,2014-11-07,http://arxiv.org/pdf/1411.1955v1,downloaded_papers/Is there any measurable benefit in publishing preprints in the arXiv section Quantitative Biology_.pdf
Insights Into Quantitative Biology: analysis of cellular adaptation,Valentina Agoni,2013-07-01,http://arxiv.org/pdf/1307.0451v1,downloaded_papers/Insights Into Quantitative Biology_ analysis of cellular adaptation.pdf
Routinely quantifying single cell proteomes: A new age in quantitative biology and medicine,"Harrison Specht, Nikolai Slavov",2018-04-03,http://arxiv.org/pdf/1804.01069v1,downloaded_papers/Routinely quantifying single cell proteomes_ A new age in quantitative biology and medicine.pdf
The Linear-Noise Approximation and moment-closure approximations for stochastic chemical kinetics,"Abhyudai Singh, Ramon Grima",2017-11-20,http://arxiv.org/pdf/1711.07383v2,downloaded_papers/The Linear_Noise Approximation and moment_closure approximations for stochastic chemical kinetics.pdf
Quantitative Measure of Stability in Gene Regulatory Networks,P. Ao,2005-07-07,http://arxiv.org/pdf/q-bio/0507009v1,downloaded_papers/Quantitative Measure of Stability in Gene Regulatory Networks.pdf
Introduction to the Special Issue on Approaches to Control Biological and Biologically Inspired Networks,"Reka Albert, John Baillieul, Adilson E. Motter",2018-06-28,http://arxiv.org/pdf/1807.00038v1,downloaded_papers/Introduction to the Special Issue on Approaches to Control Biological and Biologically Inspired Netw.pdf
The impact of the COVID-19 pandemic on academic productivity,"Andrew R. Casey, Ilya Mandel, Prasun K. Ray",2021-09-14,http://arxiv.org/pdf/2109.06591v1,downloaded_papers/The impact of the COVID_19 pandemic on academic productivity.pdf
How input fluctuations reshape the dynamics of a biological switching system,"Bo Hu, David A. Kessler, Wouter-Jan Rappel, Herbert Levine",2012-10-17,http://arxiv.org/pdf/1210.4616v1,downloaded_papers/How input fluctuations reshape the dynamics of a biological switching system.pdf
Exploring Coverage and Distribution of Identifiers on the Scholarly Web,"Peter Kraker, Asura Enkhbayar, Elisabeth Lex",2015-03-17,http://arxiv.org/pdf/1503.05096v1,downloaded_papers/Exploring Coverage and Distribution of Identifiers on the Scholarly Web.pdf
TIB-arXiv: An Alternative Search Portal for the arXiv Pre-print Server,"Matthias Springstein, Huu Hung Nguyen, Anett Hoppe, Ralph Ewerth",2018-06-18,http://arxiv.org/pdf/1806.06796v1,downloaded_papers/TIB_arXiv_ An Alternative Search Portal for the arXiv Pre_print Server.pdf
